cap,city,description,details,price,title,url
" Route de Florissant 89B,", 1206,", Genève - Spacieux appartement au cœur de Florissant","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 135 m', ' Locali ': ' 4.5 ', ' Piano ': ' 8° piano ', ' Piani della casa ': ' 10 ', ' Anno di costruzione ': ' 1972 ', ' Ultima ristrutturazione ': ' 2020 ', ' Codice immobile ': ' 4780515 ', ' Numero oggetto ': ' ..d4f2c72d-2085-11ec-842e-005056bdbc06 '}", 2'350'000.– ,Appartamento 4.5 Locali,
" Route de Pregny,", 1292,", Chambésy - 3-Zimmer Wohnung zum/zur Verkaufen in . in Chambésy","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Locali ': ' 3 ', ' Anno di costruzione ': ' 2023 ', ' Codice immobile ': ' 4717732 ', ' Numero oggetto ': ' ..5184a74c-3118-4e3a-8ac5-c0067b762e24 '}", 955'000.– ,Appartamento 3 Locali,
 1218, Le Grand-Saconnex,", Le Grand-Saconnex - Magnifique opportunité en SIAL à ne pas manquer","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 173 m', ' Locali ': ' 4.5 ', ' Piano ': ' 1° piano ', ' Anno di costruzione ': ' 1970 ', ' Codice immobile ': ' 4595027 ', ' Numero oggetto ': ' ..99d40996-38bd-4256-a765-b8b12e17124e '}", 1'890'000.– ,Appartamento 4.5 Locali,
 1206, Genève,", Genève - Charmant Appartement à Champel","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 79 m', ' Locali ': ' 3.5 ', ' Piano ': ' 6° piano ', ' Codice immobile ': ' 4848411 ', ' Numero oggetto ': ' ..8f944ac9-3b14-45bf-8bc3-db6096278973 '}", 1'290'000.– ,Appartamento 3.5 Locali,
 1219, Le Lignon,", Le Lignon - Rare à la vente : 6 pièces en attique dans la tour du Lignon !","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 167 m', ' Locali ': ' 6 ', ' Anno di costruzione ': ' 1971 ', ' Codice immobile ': ' 4866054 ', ' Numero oggetto ': ' ..e6e50dcb-b5bc-4ec7-9bf8-139a2fd1baf7 '}", 1'390'000.– ,Appartamento 6 Locali,
 1203, Genève,", Genève - POUR INVESTISSEURS - Spacieux appartement de 3 pièces","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 83 m', ' Locali ': ' 3 ', ' Piano ': ' 6° piano ', ' Anno di costruzione ': ' 1993 ', ' Ultima ristrutturazione ': ' 2019 ', ' Codice immobile ': ' 4843877 ', ' Numero oggetto ': ' ..7b7a60c4-9393-491d-9064-b8f10805e336 '}", 930'000.– ,Appartamento 3 Locali,
 1292, Chambésy,", Chambésy - Superbe propriété familiale aux volumes généreux","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 400 m', ' Locali ': ' 8 ', ' Anno di costruzione ': ' 2008 ', ' Ultima ristrutturazione ': ' 2020 ', ' Codice immobile ': ' 4832028 ', ' Numero oggetto ': ' ..0933a429-2c69-4109-8593-8ba49b37b87a '}", su richiesta ,Casa monofamiliare 8 Locali,
 1223, Cologny,", Cologny - Architecture unique - Cologny vue lac","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 675 m', ' Locali ': ' 6 ', ' Condizioni ': ' Nuova costruzione ', ' Codice immobile ': ' 3965200 ', ' Numero oggetto ': ' ..26405afc-284e-482c-bf1c-08466b596379 '}", su richiesta ,Casa monofamiliare 6 Locali,
 1204, Genève,", Genève - Luxueux appartement au coeur de la Vieille-Ville","{' Tipo di oggetto ': ' Appartamento su due piani ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 327 m', ' Locali ': ' 8 ', ' Ultima ristrutturazione ': ' 2019 ', ' Codice immobile ': ' 4863049 ', ' Numero oggetto ': ' ..c9fdfc33-d59c-4f1a-8f71-6627d41ef801 '}", su richiesta ,Appartamento su due piani 8 Locali,
 1209, Genève,", Genève - Attique de 159 PPE m2 avec vue sur le Mont-Blanc","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 159 m', ' Locali ': ' 5 ', ' Anno di costruzione ': ' 1996 ', ' Codice immobile ': ' 4816681 ', ' Numero oggetto ': ' ..159124bd-93ae-410b-96fc-657faba60687 '}", 1'790'000.– ,Appartamento 5 Locali,
 1206, Genève,", Genève - Magnifique appartement clé en main en plein coeur de Florissant","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 252 m', ' Locali ': ' 8 ', ' Piano ': ' 7° piano ', ' Anno di costruzione ': ' 1970 ', ' Ultima ristrutturazione ': ' 2021 ', ' Codice immobile ': ' 4856581 ', ' Numero oggetto ': ' ..a6f0921c-5977-427f-b6e2-b3f18e3f73c9 '}", 4'200'000.– ,Appartamento 8 Locali,
 1206, Genève,", Genève - Charmante bien dans une résidence de prestige","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 92 m', ' Locali ': ' 4 ', ' Piano ': ' 3° piano ', ' Anno di costruzione ': ' 1970 ', ' Codice immobile ': ' 4816344 ', ' Numero oggetto ': ' ..6e22a265-d37d-4972-b1e9-e3a77b214629 '}", 1'750'000.– ,Appartamento 4 Locali,
 1206, Genève,", Genève - 6 pièces avec vue dégagée","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 161 m', ' Locali ': ' 6 ', ' Piano ': ' Più alto di 8° piano ', ' Anno di costruzione ': ' 1976 ', ' Ultima ristrutturazione ': ' 2016 ', ' Codice immobile ': ' 4783220 ', ' Numero oggetto ': ' ..c7d87ad1-9e5c-47ee-98d2-62a2c784c879 '}", 2'850'000.– ,Appartamento 6 Locali,
 1223, Cologny,", Cologny - COLOGNY - Villa individuelle apercu lac","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 330 m', ' Locali ': ' 8 ', ' Codice immobile ': ' 4664689 ', ' Numero oggetto ': ' ..1dbe64b2-370e-461d-9289-d5d0df02c114 '}", 7'000'000.– ,Casa monofamiliare 8 Locali,
 1224, Chêne-Bougeries,", Chêne-Bougeries - Superbe villa d'architecte","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 198 m', ' Locali ': ' 6 ', ' Anno di costruzione ': ' 2009 ', ' Codice immobile ': ' 4738371 ', ' Numero oggetto ': ' ..cb78019b-e31f-487e-b37b-d4bc222605bf '}", 3'100'000.– ,Casa monofamiliare 6 Locali,
 1212, Grand-Lancy,", Grand-Lancy - À vendre: Loft proche des commodités et des transports","{' Tipo di oggetto ': ' Appartamento su due piani ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 224 m', ' Locali ': ' 6 ', ' Codice immobile ': ' 4823066 ', ' Numero oggetto ': ' ..0d245e74-fb37-46af-8e35-a39fac196d51 '}", 2'380'000.– ,Appartamento su due piani 6 Locali,
" Route de Pregny,", 1292,", Chambésy - Belle villa construite en 2008 avec de beaux volumes à Pregny-Chambésy","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 154 m', ' Locali ': ' 6 ', ' Anno di costruzione ': ' 2008 ', ' Codice immobile ': ' 4788563 ', ' Numero oggetto ': ' ..083859cc-2bdc-4d57-8ecb-99a9ab294b0c '}", 2'290'000.– ,Casa monofamiliare 6 Locali,
 1218, Le Grand-Saconnex,", Le Grand-Saconnex - Townhouse au coeur d'un magnifique parc privé","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 140 m', ' Locali ': ' 5 ', ' Anno di costruzione ': ' 1986 ', ' Codice immobile ': ' 4801968 ', ' Numero oggetto ': ' ..85506756-12cc-4c31-92c5-403648c438a7 '}", 2'250'000.– ,Appartamento 5 Locali,
